COMPONENTE,DESCRICAO,ALIM,REGIONAL,SECCIONAL,BASE,CONJUNTO,FASE,CHAVE_PAI_ID,KVAN,KVAT_D,KVAT_N,TAP,TP_CONDUTOR,KM_TOTAL,MULT,NU,PERC_MULT,PERC_NU,CLIT,INT12M,DEC12M,FEC12M
100179530- X,Instalacao Transformadora com  Chave,STN01S4,AMAPÁ,Metropolitana,Santana,SANTANA,A,3175174,15.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
100178709-X,Instalacao Transformadora com  Chave,SNV01N1,,Porto Grande,Pedra Branca,SERRA DO NAVIO,ABC,3174224,150.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
70011002,Instalacao Transformadora com  Chave,JAR01F2,AMAPÁ,Metropolitana,Macapá,LARANJAL DO JARI,B,3176768,10.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
100196294- X,Instalacao Transformadora com  Chave,STN01S6,AMAPÁ,Metropolitana,Macapá,SANTANA,A,3174965,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
02300033,Instalacao Transformadora com  Chave,STN01S6,AMAPÁ,Metropolitana,Santana,SANTANA,A,3173108,15.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
00100473,Instalacao Transformadora com Chave,MCD01W2,,Metropolitana,Macapá,MACAPA - II,ABC,3157817,112.5000000000,,,,,,0.00000000,0.00000000,,,0,,,
01700365,Instalacao Transformadora com  Chave,STN01S6,AMAPÁ,Metropolitana,Macapá,SANTANA,A,3170351,25.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
RG548,Instalacao Transformadora com  Chave,PTG01P1,,Porto Grande,Porto Grande,PORTO GRANDE,A,3177158,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
QU036,Instalacao Transformadora com Chave,EQT01Y5,AMAPÁ,Metropolitana,Macapá,EQUATORIAL,ABC,3179191,45.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
00102043,Instalacao Transformadora com Chave,MCD01C7,,Metropolitana,Macapá,MACAPA - II,ABC,3162132,150.0000000000,,,,,,0.00000000,0.00000000,,,0,1,0.001862612993,0.0004266177264
1930,Instalacao Transformadora com Chave,MCD01C3,,Metropolitana,Macapá,MACAPA - II,ABC,3157704,150.0000000000,,,,,,0.00000000,0.00000000,,,0,2,0.00296354885,0.0008124602532
942707,Instalacao Transformadora com Chave,CEN01C3,,Tartarugalzinho,Tartarugal,PORTO GRANDE,A,3177676,25.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
