PLANO,ORDEM_INSP,SEAL,N_COMP_INSP,TIPO_COMP_INSP,CLASSE,FATOR_PRIOR,REGIONAL,SECCIONAL,TIPO_INSP,DATA_PROG,MES_PROG,BASE_REG,SUM,MES_PROG_NUM,TENSAO,BASE_REG_2,ORDEM_MAN,EMPRESA,PDF_CONS,INDEX,FATOR_PRIOR_CONSOLIDADO,SUPERINTENDENCIA,CONJUNTO,KM_TOTAL
BAIXA TENSÃO,6000952388,RIN-10,149007644,,C2,HIERARQUIA,NORTE,PORTO ALEGRE,GERAL T1,2025-05-01,MAI,ANO ANTERIOR,1,5,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,149007644,149007644-BT-MAI-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,RINCAO,0.83
RAMAL,6000877951,SVP-6,173030506,,C2,HIERARQUIA,SUL,RIO GRANDE,GERAL T1,2025-01-01,JAN,ANO ANTERIOR,1,1,23 kV,2025,NÃO,RIO GRANDE DO SUL,173030506,173030506-RM-JAN-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,SANTA VITORIA DO PALMAR,0.733
RAMAL,6000877952,SVP-6,173030506,,C2,HIERARQUIA,SUL,RIO GRANDE,TERMO T1,2025-01-01,JAN,ANO ANTERIOR,1,1,23 kV,2025,NÃO,RIO GRANDE DO SUL,173030506,173030506-RM-JAN-TG1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,SANTA VITORIA DO PALMAR,0.733
RAMAL,6001036943,SVP-6,173030506,COMPLEMENTO,C2,HIERARQUIA,SUL,RIO GRANDE,GERAL T1,2025-08-01,AGO,ANO ANTERIOR,1,8,23 kV,2025,SIM,RIO GRANDE DO SUL,173030506,173030506-RM-AGO-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,SANTA VITORIA DO PALMAR,0.733
RAMAL,6001066972,SVP-6,173030506,,C2,REGIONAL,SUL,RIO GRANDE,GERAL T1,2025-11-01,NOV,ANO ANTERIOR,1,11,23 kV,2025,SIM,RIO GRANDE DO SUL,173030506,173030506-RM-NOV-GT1-ANO ANTERIOR,REGIONAL,EQTL-RS,SANTA VITORIA DO PALMAR,0.733
ALIMENTADOR,6001141267,SVP-6,173030506,Religador Automatico,C2,HIERARQUIA,SUL,RIO GRANDE,GERAL T1,2025-12-01,DEZ,ANO ANTERIOR,1,12,23 kV,2025,SIM,RIO GRANDE DO SUL,SVP6,SVP6-AL-DEZ-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,SANTA VITORIA DO PALMAR,0.733
RAMAL,6001054088,MRE-03,144000896,,C2,HIERARQUIA,SUL,PELOTAS,GERAL T1,2025-09-01,SET,ANO ANTERIOR,1,9,23 kV,2025,SIM,RIO GRANDE DO SUL,144000896,144000896-RM-SET-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 3,3.264
RAMAL,6001054088,MRE-03,144000896,,C2,HIERARQUIA,SUL,PELOTAS,GERAL T1,2025-09-01,SET,ANO ANTERIOR,1,9,23 kV,2025,SIM,RIO GRANDE DO SUL,144000896,144000896-RM-SET-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 3,3.264
BAIXA TENSÃO,6001054093,QUI-6,156000120,,C2,HIERARQUIA,SUL,RIO GRANDE,TERMO T1,2025-09-01,SET,ANO ANTERIOR,1,9,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,156000120,156000120-BT-SET-TG1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,QUINTA,1.743
BAIXA TENSÃO,6001054111,QUI-6,156000120,,C2,HIERARQUIA,SUL,RIO GRANDE,GERAL T1,2025-09-01,SET,ANO ANTERIOR,1,9,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,156000120,156000120-BT-SET-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,QUINTA,1.743
ALIMENTADOR,6000881249,PAL8-81,PAL8-81,,A,CLASSE,NORTE,PORTO ALEGRE,GERAL T1,2025-01-01,JAN,ANO ANTERIOR,1,1,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,PAL881,PAL881-AL-JAN-GT1-ANO ANTERIOR,CLASSE,EQTL-RS,PORTO ALEGRE 8,1.651
ALIMENTADOR,6000880845,PAL8-81,PAL8-81,,A,CLASSE,NORTE,PORTO ALEGRE,TERMO T1,2025-01-01,JAN,ANO ANTERIOR,1,1,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,PAL881,PAL881-AL-JAN-TG1-ANO ANTERIOR,CLASSE,EQTL-RS,PORTO ALEGRE 8,1.651
ALIMENTADOR,6000952314,PAL8-81,PAL8-81,,A,CLASSE,NORTE,PORTO ALEGRE,PATRUL,2025-05-01,MAI,ANO ANTERIOR,1,5,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,PAL881,PAL881-AL-MAI-PTL-ANO ANTERIOR,CLASSE,EQTL-RS,PORTO ALEGRE 8,1.651
ALIMENTADOR,6001113384,PAL8-81,PAL8-81,,A,CLASSE,NORTE,PORTO ALEGRE,PATRUL,2025-11-01,NOV,ANO ANTERIOR,1,11,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,PAL881,PAL881-AL-NOV-PTL-ANO ANTERIOR,CLASSE,EQTL-RS,PORTO ALEGRE 8,1.651
